id;name;email;need;message;created_date;status
1;closely or cute;Manuel.Ebert-Wuckert@hotmail.com;ISO_AUDIT;../fake-data/blob/hipster.txt;2026-08-02T07:38:10;QUALIFIED
2;after;Miriam_Bradtke67@yahoo.com;DIGITAL_TRANSFORMATION;../fake-data/blob/hipster.txt;2026-08-02T12:39:51;CONTACTED
3;ew brr hollow;Joyce.Wilderman@hotmail.com;CAPACITY_BUILDING;../fake-data/blob/hipster.txt;2026-08-02T09:16:54;CLOSED
4;functional;Kenneth.Greenholt@hotmail.com;CAPACITY_BUILDING;../fake-data/blob/hipster.txt;2026-08-01T23:00:59;CLOSED
5;secrecy plugin;Ferne.Ryan89@yahoo.com;ISO_AUDIT;../fake-data/blob/hipster.txt;2026-08-01T19:57:23;QUALIFIED
6;and generously;Romaine.Connelly@gmail.com;BESPOKE_SOLUTION;../fake-data/blob/hipster.txt;2026-08-02T09:25:00;QUALIFIED
7;unknown;Kadin19@gmail.com;ENTERPRISE_INTEGRATION;../fake-data/blob/hipster.txt;2026-08-01T22:26:20;QUALIFIED
8;hollow ew;Billie.Grimes@yahoo.com;BESPOKE_SOLUTION;../fake-data/blob/hipster.txt;2026-08-01T16:35:40;CLOSED
9;though past;Flora_Thompson65@gmail.com;OTHER;../fake-data/blob/hipster.txt;2026-08-02T00:13:51;CONTACTED
10;alongside black;Michele65@hotmail.com;OTHER;../fake-data/blob/hipster.txt;2026-08-01T21:59:13;CONTACTED
11;reconsideration curiously flint;Sergio_Ortiz@gmail.com;CAPACITY_BUILDING;../fake-data/blob/hipster.txt;2026-08-02T00:51:24;NEW
12;frankly warmly;Rebecca7@hotmail.com;BESPOKE_SOLUTION;../fake-data/blob/hipster.txt;2026-08-02T08:49:30;QUALIFIED
13;tame during;Harriet.Ledner@gmail.com;BESPOKE_SOLUTION;../fake-data/blob/hipster.txt;2026-08-02T03:04:11;QUALIFIED
14;hm powerfully tall;Gilbert1@gmail.com;CAPACITY_BUILDING;../fake-data/blob/hipster.txt;2026-08-02T07:01:09;NEW
15;for bouncy;Ryann_Crist24@hotmail.com;ISO_AUDIT;../fake-data/blob/hipster.txt;2026-08-02T13:08:16;NEW
16;skeletal where weary;Lewis65@hotmail.com;ISO_AUDIT;../fake-data/blob/hipster.txt;2026-08-02T07:12:04;CLOSED
17;since over besides;Forrest.Huel74@gmail.com;BESPOKE_SOLUTION;../fake-data/blob/hipster.txt;2026-08-02T06:32:01;NEW
18;waver;Darrel.Gislason50@hotmail.com;ISO_AUDIT;../fake-data/blob/hipster.txt;2026-08-02T06:56:04;QUALIFIED
19;hurtful aha supposing;Ilene.Schulist@gmail.com;CAPACITY_BUILDING;../fake-data/blob/hipster.txt;2026-08-01T23:22:41;QUALIFIED
20;suspiciously;Eladio.Armstrong99@hotmail.com;BESPOKE_SOLUTION;../fake-data/blob/hipster.txt;2026-08-02T12:49:04;QUALIFIED
21;consequently quarrel;Sanford.Schmitt@hotmail.com;OTHER;../fake-data/blob/hipster.txt;2026-08-01T16:03:48;QUALIFIED
22;discontinue upright;Mary.Doyle83@gmail.com;DIGITAL_TRANSFORMATION;../fake-data/blob/hipster.txt;2026-08-02T07:58:21;QUALIFIED
23;huzzah;Derek_Klocko@gmail.com;ENTERPRISE_INTEGRATION;../fake-data/blob/hipster.txt;2026-08-02T03:25:23;CLOSED
24;greatly cop acidic;Julianne_Ziemann@hotmail.com;ENTERPRISE_INTEGRATION;../fake-data/blob/hipster.txt;2026-08-01T17:56:53;CLOSED
25;disclosure;Melanie52@gmail.com;ISO_AUDIT;../fake-data/blob/hipster.txt;2026-08-02T02:02:26;NEW
26;exaggerate;Michael.Will@hotmail.com;BESPOKE_SOLUTION;../fake-data/blob/hipster.txt;2026-08-01T23:51:36;QUALIFIED
27;shark;Miriam.Ebert77@hotmail.com;ENTERPRISE_INTEGRATION;../fake-data/blob/hipster.txt;2026-08-01T22:22:40;QUALIFIED
28;oof disgorge;Octavia95@gmail.com;BESPOKE_SOLUTION;../fake-data/blob/hipster.txt;2026-08-02T12:44:59;NEW
29;but including although;Carmella_Will33@yahoo.com;BESPOKE_SOLUTION;../fake-data/blob/hipster.txt;2026-08-02T00:26:54;CONTACTED
30;geez someplace;Reba_Harber86@hotmail.com;OTHER;../fake-data/blob/hipster.txt;2026-08-02T09:06:05;NEW
